"ID","Name","Description","Parent"
"aether_legacy:craft_altar","[Do you believe in magic?]","Craft an Altar","aether_legacy:enter_aether"
"aether_legacy:craft_incubator","[Now you're family]","Incubate a Moa","aether_legacy:enter_aether"
"aether_legacy:dethroned","[Dethroned]","Defeat the silver dungeon boss","aether_legacy:like_a_bossaru"
"aether_legacy:enter_aether","[Hostile Paradise]","Enter the Aether","-"
"aether_legacy:extinquished","[Extinguished]","Defeat the golden dungeon boss","aether_legacy:dethroned"
"aether_legacy:gravitite_tools","[Pink is the new blue]","Craft a Gravitite tool","aether_legacy:craft_altar"
"aether_legacy:like_a_bossaru","[Like a Bossaru!]","Defeat the bronze dungeon boss","aether_legacy:enter_aether"
"aether_legacy:loreception","[Lore-ception!]","Put a book of lore inside a book of lore.","aether_legacy:enter_aether"
"aether_legacy:mount_phyg","[When Phygs fly]","Fly on a Phyg","aether_legacy:to_infinity_and_beyond"
"aether_legacy:recipes/building_blocks/aerogel_slab","aether_legacy:recipes/building_blocks/aerogel_slab","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/aerogel_stairs","aether_legacy:recipes/building_blocks/aerogel_stairs","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/aerogel_wall","aether_legacy:recipes/building_blocks/aerogel_wall","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/angelic_slab","aether_legacy:recipes/building_blocks/angelic_slab","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/angelic_stairs","aether_legacy:recipes/building_blocks/angelic_stairs","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/angelic_wall","aether_legacy:recipes/building_blocks/angelic_wall","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/carved_slab","aether_legacy:recipes/building_blocks/carved_slab","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/carved_stairs","aether_legacy:recipes/building_blocks/carved_stairs","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/carved_wall","aether_legacy:recipes/building_blocks/carved_wall","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/hellfire_slab","aether_legacy:recipes/building_blocks/hellfire_slab","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/hellfire_stairs","aether_legacy:recipes/building_blocks/hellfire_stairs","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/hellfire_wall","aether_legacy:recipes/building_blocks/hellfire_wall","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/holystone_brick","aether_legacy:recipes/building_blocks/holystone_brick","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/holystone_brick_slab","aether_legacy:recipes/building_blocks/holystone_brick_slab","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/holystone_brick_stairs","aether_legacy:recipes/building_blocks/holystone_brick_stairs","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/holystone_brick_wall","aether_legacy:recipes/building_blocks/holystone_brick_wall","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/holystone_slab","aether_legacy:recipes/building_blocks/holystone_slab","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/holystone_stairs","aether_legacy:recipes/building_blocks/holystone_stairs","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/holystone_wall","aether_legacy:recipes/building_blocks/holystone_wall","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/mossy_holystone_slab","aether_legacy:recipes/building_blocks/mossy_holystone_slab","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/mossy_holystone_stairs","aether_legacy:recipes/building_blocks/mossy_holystone_stairs","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/mossy_holystone_wall","aether_legacy:recipes/building_blocks/mossy_holystone_wall","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/skyroot_bookshelf","aether_legacy:recipes/building_blocks/skyroot_bookshelf","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/skyroot_planks","aether_legacy:recipes/building_blocks/skyroot_planks","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/skyroot_slab","aether_legacy:recipes/building_blocks/skyroot_slab","<null>","minecraft:recipes/root"
"aether_legacy:recipes/building_blocks/skyroot_stairs","aether_legacy:recipes/building_blocks/skyroot_stairs","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/diamond_gloves","aether_legacy:recipes/combat/diamond_gloves","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/gold_gloves","aether_legacy:recipes/combat/gold_gloves","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/golden_dart","aether_legacy:recipes/combat/golden_dart","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/golden_dart_shooter","aether_legacy:recipes/combat/golden_dart_shooter","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/gravitite_boots","aether_legacy:recipes/combat/gravitite_boots","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/gravitite_chestplate","aether_legacy:recipes/combat/gravitite_chestplate","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/gravitite_gloves","aether_legacy:recipes/combat/gravitite_gloves","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/gravitite_helmet","aether_legacy:recipes/combat/gravitite_helmet","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/gravitite_leggings","aether_legacy:recipes/combat/gravitite_leggings","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/gravitite_sword","aether_legacy:recipes/combat/gravitite_sword","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/holystone_sword","aether_legacy:recipes/combat/holystone_sword","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/iron_gloves","aether_legacy:recipes/combat/iron_gloves","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/leather_gloves","aether_legacy:recipes/combat/leather_gloves","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/poison_dart","aether_legacy:recipes/combat/poison_dart","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/poison_dart_shooter","aether_legacy:recipes/combat/poison_dart_shooter","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/skyroot_sword","aether_legacy:recipes/combat/skyroot_sword","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/zanite_boots","aether_legacy:recipes/combat/zanite_boots","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/zanite_chestplate","aether_legacy:recipes/combat/zanite_chestplate","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/zanite_gloves","aether_legacy:recipes/combat/zanite_gloves","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/zanite_helmet","aether_legacy:recipes/combat/zanite_helmet","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/zanite_leggings","aether_legacy:recipes/combat/zanite_leggings","<null>","minecraft:recipes/root"
"aether_legacy:recipes/combat/zanite_sword","aether_legacy:recipes/combat/zanite_sword","<null>","minecraft:recipes/root"
"aether_legacy:recipes/decorations/ambrosium_torch","aether_legacy:recipes/decorations/ambrosium_torch","<null>","minecraft:recipes/root"
"aether_legacy:recipes/decorations/enchanter","aether_legacy:recipes/decorations/enchanter","<null>","minecraft:recipes/root"
"aether_legacy:recipes/decorations/freezer","aether_legacy:recipes/decorations/freezer","<null>","minecraft:recipes/root"
"aether_legacy:recipes/decorations/incubator","aether_legacy:recipes/decorations/incubator","<null>","minecraft:recipes/root"
"aether_legacy:recipes/decorations/skyroot_bed","aether_legacy:recipes/decorations/skyroot_bed","<null>","minecraft:recipes/root"
"aether_legacy:recipes/decorations/skyroot_fence","aether_legacy:recipes/decorations/skyroot_fence","<null>","minecraft:recipes/root"
"aether_legacy:recipes/decorations/skyroot_fence_gate","aether_legacy:recipes/decorations/skyroot_fence_gate","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/blue_cape","aether_legacy:recipes/misc/blue_cape","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/book_of_lore","aether_legacy:recipes/misc/book_of_lore","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/cold_parachute","aether_legacy:recipes/misc/cold_parachute","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/gold_parachute","aether_legacy:recipes/misc/gold_parachute","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/gray_dye_flower","aether_legacy:recipes/misc/gray_dye_flower","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/purple_dye_flower","aether_legacy:recipes/misc/purple_dye_flower","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/red_cape","aether_legacy:recipes/misc/red_cape","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/saddle","aether_legacy:recipes/misc/saddle","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/skyroot_stick","aether_legacy:recipes/misc/skyroot_stick","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/white_cape","aether_legacy:recipes/misc/white_cape","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/yellow_cape","aether_legacy:recipes/misc/yellow_cape","<null>","minecraft:recipes/root"
"aether_legacy:recipes/misc/zanite_from_block","aether_legacy:recipes/misc/zanite_from_block","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/gold_pendant","aether_legacy:recipes/tools/gold_pendant","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/gold_ring","aether_legacy:recipes/tools/gold_ring","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/gravitite_axe","aether_legacy:recipes/tools/gravitite_axe","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/gravitite_pickaxe","aether_legacy:recipes/tools/gravitite_pickaxe","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/gravitite_shovel","aether_legacy:recipes/tools/gravitite_shovel","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/holystone_axe","aether_legacy:recipes/tools/holystone_axe","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/holystone_pickaxe","aether_legacy:recipes/tools/holystone_pickaxe","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/holystone_shovel","aether_legacy:recipes/tools/holystone_shovel","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/iron_pendant","aether_legacy:recipes/tools/iron_pendant","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/iron_ring","aether_legacy:recipes/tools/iron_ring","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/skyroot_axe","aether_legacy:recipes/tools/skyroot_axe","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/skyroot_pickaxe","aether_legacy:recipes/tools/skyroot_pickaxe","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/skyroot_shovel","aether_legacy:recipes/tools/skyroot_shovel","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/zanite_axe","aether_legacy:recipes/tools/zanite_axe","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/zanite_pendant","aether_legacy:recipes/tools/zanite_pendant","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/zanite_pickaxe","aether_legacy:recipes/tools/zanite_pickaxe","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/zanite_ring","aether_legacy:recipes/tools/zanite_ring","<null>","minecraft:recipes/root"
"aether_legacy:recipes/tools/zanite_shovel","aether_legacy:recipes/tools/zanite_shovel","<null>","minecraft:recipes/root"
"aether_legacy:to_infinity_and_beyond","[To infinity and beyond!]","Bounce on a Blue Aercloud","aether_legacy:enter_aether"
"ancientbeasts:create_bestiary","[Knowledge is Power]","Craft a Bestiarium","ancientbeasts:root"
"ancientbeasts:get_undead_necklace","[Eternal Life?]","Obtain an undead necklace","ancientbeasts:kill_nekros"
"ancientbeasts:kill_bonepile","[Get over here!]","Kill a Bonepile","ancientbeasts:root"
"ancientbeasts:kill_boulderer","[Danger from below]","Kill a bouldering zombie","ancientbeasts:root"
"ancientbeasts:kill_damcell","[Daughter of slaughter]","Destroy a damcell","ancientbeasts:root"
"ancientbeasts:kill_frostashfox","[You... monster]","Kill an innocent frostash fox","ancientbeasts:tame_frostashfox"
"ancientbeasts:kill_frostwalker","[Snowgrave]","Kill a Frostwalker","ancientbeasts:root"
"ancientbeasts:kill_ghost","[Exorcism]","Defeat a ghost","ancientbeasts:root"
"ancientbeasts:kill_giant","[The harder they fall]","Slay a giant","ancientbeasts:root"
"ancientbeasts:kill_mosquito","[Pest Control]","Kill a Needlewing","ancientbeasts:root"
"ancientbeasts:kill_nekros","[Memento Mori]","Kill a Nekros","ancientbeasts:root"
"ancientbeasts:kill_netherhound","[Soul Fetcher]","Kill a netherhound","ancientbeasts:root"
"ancientbeasts:kill_rifted_enderman","[Opposite day!]","Kill a Rifted Enderman","ancientbeasts:root"
"ancientbeasts:kill_sandmonster","[Desert of Madness]","Slay a sandmonster","ancientbeasts:root"
"ancientbeasts:kill_succubus","[It's Definitively You]","Kill a Succubus","ancientbeasts:succubus_friend"
"ancientbeasts:kill_vessel","[No strings attached]","Someone forgot to wind the music box","ancientbeasts:root"
"ancientbeasts:kill_zealot","[Light 'em up]","Kill a zealot","ancientbeasts:root"
"ancientbeasts:owlstack_interact","[Owl-stacked!]","Let an Owlstack ride on top of your head","ancientbeasts:root"
"ancientbeasts:return_soul","[Who's Who?]","Catch your soul","ancientbeasts:get_undead_necklace"
"ancientbeasts:root","[Beast Slayer]","New threats and friends appear in your world","-"
"ancientbeasts:succubus_bed","[Like one of your french girls]","Guess that is her bed now","ancientbeasts:succubus_friend"
"ancientbeasts:succubus_blood","[Bloodletting]","Make a Succubus lend you some powers in an unusual manner","ancientbeasts:succubus_friend"
"ancientbeasts:succubus_friend","[Red Flags]","Get bound to a Succubus","ancientbeasts:root"
"ancientbeasts:tame_frostashfox","[Cold and Sharp]","Meet an icy friend","ancientbeasts:root"
"ancientbeasts:tame_lilv","[Make them ring]","Become a puppeteer","ancientbeasts:kill_vessel"
"ancientbeasts:tame_netherhound","[Who's a bad boy?]","Tame a netherhound","ancientbeasts:kill_netherhound"
"ancientbeasts:tame_sandmonster","[Yandere]","She's jealous!","ancientbeasts:kill_sandmonster"
"ancientspellcraft:ancient_book","[Lost Knowledge]","Craft an Ancient Spell Book at the Scribing Table","ancientspellcraft:scribing_desk"
"ancientspellcraft:battlemage_camp","[Who's camping here?]","Discover a Battlemage Camp in the wilderness","ebwizardry:arcane_initiate"
"ancientspellcraft:crystal_shards","[Shiny Stones]","Mine an elemental crystal shard","ancientspellcraft:root"
"ancientspellcraft:grand_stone_tablet","[50 Pounds Of Pure Knowledge]","Find a Grand Stone Tablet","ancientspellcraft:relics"
"ancientspellcraft:novice_spellblade","[Stick With The Pointy End]","Forge your first Spell Blade","ancientspellcraft:relics"
"ancientspellcraft:relic_research","[Lithic Literature]","Research a Stone Tablet with the Sphere of Cognizance","ancientspellcraft:sphere_of_cognizance"
"ancientspellcraft:relics","[More Archaeology!]","Find a stone tablet","ancientspellcraft:root"
"ancientspellcraft:root","[Ancient Spellcraft]","A new chapter in the wizard's journey","-"
"ancientspellcraft:scribing_desk","[Bring Your Own Chair]","Create a spell Scribing Desk","ancientspellcraft:relics"
"ancientspellcraft:sphere_of_cognizance","[A Look Into The Unknown]","Create a Sphere of Cognizance","ancientspellcraft:root"
"arcaneapprentices:apprentice_artefact_use","[Artificial Apparition]","You've entrusted your apprentice with their very first magical artifact, opening the door to greater power.","arcaneapprentices:take_apprentice"
"arcaneapprentices:apprentice_go_on_journey","[An Epic Quest]","Your apprentice embarks on their first journey, adventure awaits!","arcaneapprentices:take_apprentice"
"arcaneapprentices:apprentice_learn_max_spell","[Archmage]","Your apprentice fills all of his spell slots.","arcaneapprentices:apprentice_learn_spell"
"arcaneapprentices:apprentice_learn_spell","[Spellbook Scholar]","Celebrate the moment when your apprentice learns their first spell from a spell book, marking the beginning of their magical journey.","arcaneapprentices:take_apprentice"
"arcaneapprentices:apprentice_levels_up","[Apprentice Ascendant]","Your apprentice has leveled up for the first time, showing promising growth in their magical abilities.","arcaneapprentices:take_apprentice"
"arcaneapprentices:apprentice_max_level","[Masterful Mentor]","Your apprentice has reached the pinnacle of magical prowess, becoming a true master of the arcane arts.","arcaneapprentices:apprentice_levels_up"
"arcaneapprentices:apprentice_returns_from_journey","[Homeward Bound]","Your apprentice returns from their first journey, brimming with tales of adventure and newfound magical insights.","arcaneapprentices:apprentice_go_on_journey"
"arcaneapprentices:root","[Apprentice Arcana]","A wizard's journey to becoming a master","-"
"arcaneapprentices:take_apprentice","[The Wizard's Apprentice]","First step taken towards building a mystical alliance by taking a very first wizard apprentice.","arcaneapprentices:root"
"astikorcarts:recipes/cargocart","astikorcarts:recipes/cargocart","<null>","-"
"astikorcarts:recipes/mobcart","astikorcarts:recipes/mobcart","<null>","-"
"astikorcarts:recipes/plowcart","astikorcarts:recipes/plowcart","<null>","-"
"astikorcarts:recipes/wheel","astikorcarts:recipes/wheel","<null>","-"
"betteranimalsplus:animal_head_all","[Really Big Game Hunter]","Collect each variant of each animal head
... are you okay? You have like 21 animal heads on your wall..","betteranimalsplus:animal_head_variants"
