"ID","Registry name","Biome name","temp.","temp cat","rain","snow","oceanic","BiomeType","BiomeDictionary.Type","Valid for","waterColorMultiplier","grassColorMultiplier","foliageColorMultiplier"
0,"minecraft:ocean","Ocean",0.50,"OCEAN",0.50,"false","true","","OCEAN, WATER","","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
1,"minecraft:plains","Plains",0.80,"MEDIUM",0.40,"false","false","COOL, WARM","PLAINS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
2,"minecraft:desert","Desert",2.00,"WARM",0.00,"false","false","","DRY, HOT, SANDY","stronghold, village","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
3,"minecraft:extreme_hills","Extreme Hills",0.24,"MEDIUM",0.30,"false","false","COOL, WARM","HILLS, MOUNTAIN","stronghold, village","0x003F76E4 (   4159204)","0xFF8CB685 (  -7555451)","0xFF6FA367 (  -9460889)"
4,"minecraft:forest","Forest",0.70,"MEDIUM",0.80,"false","false","COOL, WARM","FOREST","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
5,"minecraft:taiga","Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","COLD, CONIFEROUS, FOREST","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF86B783 (  -7948413)","0xFF68A464 (  -9919388)"
6,"minecraft:swampland","Swampland",0.80,"MEDIUM",0.90,"false","false","WARM","SWAMP, WET","","0x00617B64 (   6388580)","0xFF6AC44E (  -9780146)","0xFF45B421 ( -12209119)"
7,"minecraft:river","River",0.50,"MEDIUM",0.50,"false","false","","RIVER, WATER","","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
8,"minecraft:hell","Hell",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
9,"minecraft:sky","The End",0.50,"MEDIUM",0.50,"false","false","","COLD, DRY, END","stronghold","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
10,"minecraft:frozen_ocean","FrozenOcean",0.00,"OCEAN",0.50,"true","true","","COLD, OCEAN, SNOWY, WATER","","0x003938C9 (   3750089)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
11,"minecraft:frozen_river","FrozenRiver",0.00,"COLD",0.50,"true","false","","COLD, RIVER, SNOWY, WATER","","0x003938C9 (   3750089)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
12,"minecraft:ice_flats","Ice Plains",0.00,"COLD",0.50,"true","false","ICY","COLD, SNOWY, WASTELAND","stronghold, village","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
13,"minecraft:ice_mountains","Ice Mountains",0.00,"COLD",0.50,"true","false","","COLD, MOUNTAIN, SNOWY","stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
