"Mod name","Registry name","Hardness","Resistance"
"Abyssal Depths","abyssaldepths:seaweed",0.00,0.00
"Ancient Warfare Automation","ancientwarfareautomation:animal_farm",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:auto_crafting",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:chunk_loader_deluxe",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:chunk_loader_simple",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:crop_farm",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:fish_farm",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_controller",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_storage",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:fruit_farm",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:hand_cranked_generator",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:mailbox",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:quarry",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:stirling_generator",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:torque_distributor",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:torque_junction",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:torque_shaft",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:tree_farm",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_control",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_crafting",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_interface",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_stock_linker",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_stock_viewer",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_storage",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:waterwheel_generator",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:windmill_blade",2.00,10.00
"Ancient Warfare Automation","ancientwarfareautomation:windmill_generator",2.00,10.00
"Ancient Warfare Core","ancientwarfare:engineering_station",2.00,10.00
"Ancient Warfare Core","ancientwarfare:research_station",2.00,10.00
"Ancient Warfare NPCs","ancientwarfarenpc:town_hall",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:advanced_loot_chest",2.50,12.50
"Ancient Warfare Structures","ancientwarfarestructure:advanced_spawner",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:altar_candle",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:altar_lectern",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:altar_long_cloth",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:altar_short_cloth",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:altar_sun",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:bench",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:brazier_ember",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:brazier_flame",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:chair",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_ancient",0.30,1.20
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_copper",0.30,1.20
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_gold",0.30,1.20
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_silver",0.30,1.20
"Ancient Warfare Structures","ancientwarfarestructure:decorative_flag",2.00,15.00
"Ancient Warfare Structures","ancientwarfarestructure:drafting_station",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:fire_pit",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:gate_proxy",-1.00,18000000.00
"Ancient Warfare Structures","ancientwarfarestructure:gibbet",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:goblin_totem_1",2.00,10.00
