"Mod name","Registry name","BlockID","Subtypes","Item ID","Item meta","Display name","Exists","Ore Dict keys"
"Abyssal Depths","abyssaldepths:seaweed",750,"false",4726,0,"Seaweed","true",""
"Ancient Warfare Automation","ancientwarfareautomation:animal_farm",757,"false",4762,0,"Animal Farm","true",""
"Ancient Warfare Automation","ancientwarfareautomation:auto_crafting",765,"false",4770,0,"Auto Crafting Table","true",""
"Ancient Warfare Automation","ancientwarfareautomation:chunk_loader_deluxe",778,"false",4783,0,"Deluxe Chunk Loader","true",""
"Ancient Warfare Automation","ancientwarfareautomation:chunk_loader_simple",777,"false",4782,0,"Simple Chunk Loader","true",""
"Ancient Warfare Automation","ancientwarfareautomation:crop_farm",755,"false",4760,0,"Crop Farm","true",""
"Ancient Warfare Automation","ancientwarfareautomation:fish_farm",758,"false",4763,0,"Fish Farm","true",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_controller",767,"true",4772,0,"Light Flywheel Controller","true",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_controller",767,"true",4772,1,"Medium Flywheel Controller","true",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_controller",767,"true",4772,2,"Heavy Flywheel Controller","true",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_storage",768,"true",4773,0,"Light Flywheel Energy Storage","true",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_storage",768,"true",4773,1,"Medium Flywheel Energy Storage","true",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_storage",768,"true",4773,2,"Heavy Flywheel Energy Storage","true",""
"Ancient Warfare Automation","ancientwarfareautomation:fruit_farm",756,"false",4761,0,"Fruit Farm","true",""
"Ancient Warfare Automation","ancientwarfareautomation:hand_cranked_generator",774,"false",4779,0,"Hand Cranked Torque Generator","true",""
"Ancient Warfare Automation","ancientwarfareautomation:mailbox",766,"false",4771,0,"Mailbox","true",""
"Ancient Warfare Automation","ancientwarfareautomation:quarry",753,"false",4758,0,"Quarry","true",""
"Ancient Warfare Automation","ancientwarfareautomation:stirling_generator",772,"false",4777,0,"Stirling Generator","true",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_distributor",771,"true",4776,0,"Light Torque Distributor","true",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_distributor",771,"true",4776,1,"Medium Torque Distributor","true",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_distributor",771,"true",4776,2,"Heavy Torque Distributor","true",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_junction",769,"true",4774,0,"Light Torque Junction","true",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_junction",769,"true",4774,1,"Medium Torque Junction","true",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_junction",769,"true",4774,2,"Heavy Torque Junction","true",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_shaft",770,"true",4775,0,"Light Torque Shaft","true",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_shaft",770,"true",4775,1,"Medium Torque Shaft","true",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_shaft",770,"true",4775,2,"Heavy Torque Shaft","true",""
"Ancient Warfare Automation","ancientwarfareautomation:tree_farm",754,"false",4759,0,"Tree Farm","true",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_control",759,"false",4764,0,"Warehouse Control Block","true",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_crafting",762,"false",4767,0,"Warehouse Crafting Table","true",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_interface",761,"false",4766,0,"Warehouse Interface","true",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_stock_linker",764,"false",4769,0,"Warehouse Stock Linker","true",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_stock_viewer",763,"false",4768,0,"Warehouse Stock Viewer","true",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_storage",760,"true",4765,0,"Small Warehouse Storage","true",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_storage",760,"true",4765,1,"Medium Warehouse Storage","true",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_storage",760,"true",4765,2,"Large Warehouse Storage","true",""
"Ancient Warfare Automation","ancientwarfareautomation:waterwheel_generator",773,"false",4778,0,"Waterwheel Generator","true",""
"Ancient Warfare Automation","ancientwarfareautomation:windmill_blade",775,"false",4780,0,"Windmill Blade","true",""
"Ancient Warfare Automation","ancientwarfareautomation:windmill_generator",776,"false",4781,0,"Windmill Controller","true",""
"Ancient Warfare Core","ancientwarfare:engineering_station",751,"false",4739,0,"Engineering Bench","true",""
"Ancient Warfare Core","ancientwarfare:research_station",752,"false",4740,0,"Research Bench","true",""
"Ancient Warfare NPCs","ancientwarfarenpc:town_hall",779,"false",4843,0,"Town Hall","true",""
"Ancient Warfare Structures","ancientwarfarestructure:advanced_loot_chest",786,"false",4850,0,"Advanced Loot Chest","true",""
"Ancient Warfare Structures","ancientwarfarestructure:advanced_spawner",780,"false",4844,0,"Advanced Monster Spawner","true",""
"Ancient Warfare Structures","ancientwarfarestructure:altar_candle",793,"false",4857,0,"tile.altar_candle","true",""
"Ancient Warfare Structures","ancientwarfarestructure:altar_lectern",794,"false",4858,0,"Altar Lectern","true",""
"Ancient Warfare Structures","ancientwarfarestructure:altar_long_cloth",792,"false",4856,0,"tile.altar_long_cloth","true",""
"Ancient Warfare Structures","ancientwarfarestructure:altar_short_cloth",791,"false",4855,0,"tile.altar_short_cloth","true",""
"Ancient Warfare Structures","ancientwarfarestructure:altar_sun",795,"false",4859,0,"Altar Sun","true",""
"Ancient Warfare Structures","ancientwarfarestructure:bench",820,"true",4884,0,"Acacia Wood Bench","true",""
"Ancient Warfare Structures","ancientwarfarestructure:bench",820,"true",4884,0,"Birch Wood Bench","true",""
"Ancient Warfare Structures","ancientwarfarestructure:bench",820,"true",4884,0,"Dark Oak Wood Bench","true",""
"Ancient Warfare Structures","ancientwarfarestructure:bench",820,"true",4884,0,"Jungle Wood Bench","true",""
"Ancient Warfare Structures","ancientwarfarestructure:bench",820,"true",4884,0,"Oak Wood Bench","true",""
"Ancient Warfare Structures","ancientwarfarestructure:bench",820,"true",4884,0,"Spruce Wood Bench","true",""
"Ancient Warfare Structures","ancientwarfarestructure:brazier_ember",790,"true",4853,0,"Ember Brazier Lit","true",""
"Ancient Warfare Structures","ancientwarfarestructure:brazier_ember",790,"true",4853,0,"Ember Brazier Unlit","true",""
"Ancient Warfare Structures","ancientwarfarestructure:brazier_flame",789,"true",4854,0,"Flame Brazier Lit","true",""
"Ancient Warfare Structures","ancientwarfarestructure:brazier_flame",789,"true",4854,0,"Flame Brazier Unlit","true",""
"Ancient Warfare Structures","ancientwarfarestructure:chair",811,"true",4875,0,"Acacia Wood Chair","true",""
"Ancient Warfare Structures","ancientwarfarestructure:chair",811,"true",4875,0,"Birch Wood Chair","true",""
"Ancient Warfare Structures","ancientwarfarestructure:chair",811,"true",4875,0,"Dark Oak Wood Chair","true",""
"Ancient Warfare Structures","ancientwarfarestructure:chair",811,"true",4875,0,"Jungle Wood Chair","true",""
"Ancient Warfare Structures","ancientwarfarestructure:chair",811,"true",4875,0,"Oak Wood Chair","true",""
"Ancient Warfare Structures","ancientwarfarestructure:chair",811,"true",4875,0,"Spruce Wood Chair","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_ancient",827,"true",4891,0,"Ancient Coin Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_ancient",827,"true",4891,0,"Ancient Coin Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_ancient",827,"true",4891,0,"Ancient Coin Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_ancient",827,"true",4891,0,"Ancient Coin Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_ancient",827,"true",4891,0,"Ancient Coin Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_ancient",827,"true",4891,0,"Ancient Coin Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_ancient",827,"true",4891,0,"Ancient Coin Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_ancient",827,"true",4891,0,"Ancient Coin Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_copper",824,"true",4888,0,"Copper Owl Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_copper",824,"true",4888,0,"Copper Owl Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_copper",824,"true",4888,0,"Copper Owl Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_copper",824,"true",4888,0,"Copper Owl Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_copper",824,"true",4888,0,"Copper Owl Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_copper",824,"true",4888,0,"Copper Owl Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_copper",824,"true",4888,0,"Copper Owl Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_copper",824,"true",4888,0,"Copper Owl Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_gold",826,"true",4890,0,"Gold Dragon Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_gold",826,"true",4890,0,"Gold Dragon Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_gold",826,"true",4890,0,"Gold Dragon Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_gold",826,"true",4890,0,"Gold Dragon Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_gold",826,"true",4890,0,"Gold Dragon Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_gold",826,"true",4890,0,"Gold Dragon Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_gold",826,"true",4890,0,"Gold Dragon Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_gold",826,"true",4890,0,"Gold Dragon Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_silver",825,"true",4889,0,"Silver Stag Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_silver",825,"true",4889,0,"Silver Stag Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_silver",825,"true",4889,0,"Silver Stag Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_silver",825,"true",4889,0,"Silver Stag Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_silver",825,"true",4889,0,"Silver Stag Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_silver",825,"true",4889,0,"Silver Stag Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_silver",825,"true",4889,0,"Silver Stag Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:coin_stack_silver",825,"true",4889,0,"Silver Stag Stack","true",""
"Ancient Warfare Structures","ancientwarfarestructure:decorative_flag",797,"true",4861,0,"Amazon Banner","true",""
"Ancient Warfare Structures","ancientwarfarestructure:decorative_flag",797,"true",4861,0,"Barbarian Banner","true",""
"Ancient Warfare Structures","ancientwarfarestructure:decorative_flag",797,"true",4861,0,"Beast Banner","true",""
"Ancient Warfare Structures","ancientwarfarestructure:decorative_flag",797,"true",4861,0,"Brigand Banner","true",""
