"Class","Command","Aliases","Usage"
"assets.recipehandler.RecipeCommand","recipes_server","recipes","commands.recipes.usage"
"assets.recipehandler.RecipeCommand","recipes_server","recipes","commands.recipes.usage"
"astramusfate.wizardry_tales.data.commands.CommandCheckMana","checkMana","","/%1$s <player>"
"astramusfate.wizardry_tales.data.commands.CommandSetMana","setMana","","/%1$s <player> [amount]"
"astramusfate.wizardry_tales.data.commands.CommandSetMaxMana","setMaxMana","","/%1$s <player> [amount]"
"astrotibs.villagenames.command.CommandBanner","vn_banner","","§c/vn_banner <forced base color OR ""village""> (optional)"
"astrotibs.villagenames.command.CommandName","vn_name","","§c/vn_name <structureType> [int, max 10]"
"austeretony.enchcontrol.common.command.CommandEC","ec","","/ec <arg>, type </ec help> for available arguments."
"baubles.common.event.CommandBaubles","baubles","bau, baub","/baubles <action> [<player> [<params>]]"
"baubles.common.event.CommandBaubles","baubles","bau, baub","/baubles <action> [<player> [<params>]]"
"baubles.common.event.CommandBaubles","baubles","bau, baub","/baubles <action> [<player> [<params>]]"
"biomesoplenty.common.command.BOPCommand","biomesoplenty","biomesop, bop","/biomesoplenty <tpbiome|biomename|stripchunk> [args]"
"biomesoplenty.common.command.BOPCommand","biomesoplenty","biomesop, bop","/biomesoplenty <tpbiome|biomename|stripchunk> [args]"
"biomesoplenty.common.command.BOPCommand","biomesoplenty","biomesop, bop","/biomesoplenty <tpbiome|biomename|stripchunk> [args]"
"c4.champions.command.CommandChampionEgg","championegg","","/championegg <entity> <tier> [affixes]..."
"c4.champions.command.CommandSpawnChampion","spawnchampion","","/spawnchampion <entity> <tier> [affixes]..."
"c4.champions.command.CommandSpawnChampionAt","spawnchampionat","","/spawnchampionat <x> <y> <z> <entity> <tier> [affixes]..."
"com.blamejared.ctgui.commands.CommandCTGUI","CTGUI","ctgui","CTGUI <id>"
"com.blamejared.ctgui.commands.CommandCTGUI","CTGUI","ctgui","CTGUI <id>"
"com.codetaylor.mc.dropt.modules.dropt.command.Command","dropt","","dropt <reload>"
"com.creativemd.creativecore.server.command.ConfigCommand","cmdconfig","","opens config gui"
"com.creativemd.creativecore.server.command.GuiCommand","creative-gui","","opens a test gui"
"com.creativemd.playerrevive.PlayerRevive$1","revive","","revive a bleeding player"
"com.daposeidonguy.teamsmod.common.command.CommandTeam","teamsmod","t, teams, teamsmod","Teams Commands: 
/teamsmod create <name> : creates team with the name <name>
/teamsmod list : lists all created teams
/teamsmod info <name> : lists all players in the team with name <name>
/teamsmod player <name> : prints the team of the player with name <name>
/teamsmod invite <name> : invites player with name <name> to your team
/teamsmod accept : accepts invitation to team
/teamsmod kick <name> : kicks player with name <name> from your team
/teamsmod leave : leaves your team
/teamsmod remove <name> : ADMIN ONLY - deletes the team with name <name>"
"com.daposeidonguy.teamsmod.common.command.CommandTeam","teamsmod","t, teams, teamsmod","Teams Commands: 
/teamsmod create <name> : creates team with the name <name>
/teamsmod list : lists all created teams
/teamsmod info <name> : lists all players in the team with name <name>
/teamsmod player <name> : prints the team of the player with name <name>
/teamsmod invite <name> : invites player with name <name> to your team
/teamsmod accept : accepts invitation to team
/teamsmod kick <name> : kicks player with name <name> from your team
/teamsmod leave : leaves your team
/teamsmod remove <name> : ADMIN ONLY - deletes the team with name <name>"
"com.daposeidonguy.teamsmod.common.command.CommandTeam","teamsmod","t, teams, teamsmod","Teams Commands: 
/teamsmod create <name> : creates team with the name <name>
/teamsmod list : lists all created teams
/teamsmod info <name> : lists all players in the team with name <name>
/teamsmod player <name> : prints the team of the player with name <name>
/teamsmod invite <name> : invites player with name <name> to your team
/teamsmod accept : accepts invitation to team
/teamsmod kick <name> : kicks player with name <name> from your team
/teamsmod leave : leaves your team
/teamsmod remove <name> : ADMIN ONLY - deletes the team with name <name>"
"com.deeperdepths.common.commands.CommandLocateDD","locateDeeperDepths","locateDeeperDepths","locateDeeperDepths <mod location>"
"com.dungeon_additions.da.util.commands.CommandLocateMod","locateDA","locateDA","locateDA <mod location>"
"com.elytradev.davincisvessels.common.command.CommandDVHelp","dvhelp","dv?","/dvhelp OR /dv?"
"com.elytradev.davincisvessels.common.command.CommandDVHelp","dvhelp","dv?","/dvhelp OR /dv?"
