"Index","Name","Translated Name","Icon Item"
0,"buildingBlocks","Building Blocks","[minecraft:brick_block@0 - 'Bricks']"
1,"decorations","Decoration Blocks","[minecraft:double_plant@5 - 'Peony']"
2,"redstone","Redstone","[minecraft:redstone@0 - 'Redstone']"
3,"transportation","Transportation","[minecraft:golden_rail@0 - 'Powered Rail']"
4,"hotbar","Saved Toolbars","[minecraft:bookshelf@0 - 'Oak Bookshelf']"
5,"search","Search Items","[minecraft:compass@0 - 'Origin Compass']"
6,"misc","Miscellaneous","[minecraft:lava_bucket@0 - 'Lava Bucket']"
7,"food","Foodstuffs","[minecraft:apple@0 - 'Apple']"
8,"tools","Tools","[minecraft:iron_axe@0 - 'Iron Axe']"
9,"combat","Combat","[minecraft:golden_sword@0 - 'Golden Sword']"
10,"brewing","Brewing","[minecraft:potion@0 - 'Water Bottle']"
11,"inventory","Survival Inventory","[minecraft:chest@0 - 'Oak Chest']"
12,"abyssaldepths","Abyssal Depths","[abyssaldepths:seaweed@0 - 'Seaweed']"
13,"tabFish","Advanced Fishing","[advanced-fishing:fish@5 - 'Golden Koi']"
14,"tabs.awcore","Ancient Warfare Core","[ancientwarfare:research_book@0 - 'Research Book']"
15,"tabs.automation","Ancient Warfare Automation","[ancientwarfare:iron_hammer@0 - 'Iron Hammer']"
16,"tabs.npc","Ancient Warfare Npcs","[ancientwarfarenpc:npc_spawner@0 - 'item.npc_spawner.name']"
17,"tabs.structures","Ancient Warfare Structures","[ancientwarfarestructure:structure_scanner@0 - 'Structure Scanner']"
18,"tabs.vehicles","Ancient Warfare Vehicles","[ancientwarfarevehicle:spawner@0 - 'Catapult Stand Fixed']"
19,"beaststab","Beast Slayer","[ancientbeasts:logo_beast@0 - 'Fire Mask']"
20,"Better Animals+","Better Animals Plus","[betteranimalsplus:antler@0 - 'Antler']"
21,"better_nether","Better Nether","[betternether:nether_grass@0 - 'Nether Grass']"
22,"natura.tab","Natura Legacy","[minecraft:sapling@0 - 'Oak Sapling']"
23,"qualitytools","Quality Tools","[qualitytools:reforging_station@0 - 'Reforging Station']"
24,"trinketstab","Trinkets","[minecraft:potato@0 - 'Potato']"
25,"classyhats","Classy Hats","[classyhats:hat@0 - 'Top Hat']"
26,"bountifulbaubles","Bountiful Baubles","[bountifulbaubles:trinketobsidianskull@0 - 'Obsidian Skull']"
27,"cqrepoured_items","CQR Items","[cqrepoured:boots_cloud@0 - 'Cloud Boots']"
28,"cqrepoured_blocks","CQR Blocks","[cqrepoured:table_oak@0 - 'Oak Table']"
29,"cqrepoured_creative_tools","CQR Creative Tools","[cqrepoured:exporter@0 - 'Exporter Block']"
30,"cqrepoured_banners","CQR Banners","[minecraft:banner@15 - 'Walker Banner 2']"
31,"cqrepoured_dungeon_placers","CQR Dungeon Generators","[cqrepoured:dungeon_placer_d5@0 - 'Dungeon Placer']"
32,"cqrepoured_exporter_chests","CQR Exporter Chests","[cqrepoured:exporter_chest_valuable@0 - 'Exporter Chest Treasure']"
33,"cqrepoured_spawn_eggs","CQR Spawn Eggs","[minecraft:spawn_egg@0 - 'Spawn']"
34,"craftingcraft","CraftingCraft","[craftingcraft:portable_crafting_table@1 - 'Inventory Crafting Table']"
35,"davincisTab","Davinci's Vessels","[davincisvessels:marker@0 - 'Ship's Helm']"
36,"deeperdepths.tab","§3Deeper Depths","[deeperdepths:copper_block@0 - 'Block of Copper']"
37,"dungeons2:dungeons_tab","Dungeons2! Blocks","[dungeons2:dungeons_tab@0 - 'item.dungeons2:dungeons_tab.name']"
38,"eerieentities","Eerie Entities","[minecraft:lit_pumpkin@0 - 'Jack o'Lantern']"
39,"environsbuildingcreativetab","Environs++ Building","[environs:cypress_bark@0 - 'Cypress Bark']"
40,"environsdecorcreativetab","Environs++ Decoration","[environs:eucalyptus_sapling@0 - 'Eucalyptus Sapling']"
41,"tabExoticbirds","Exotic Birds Mod","[exoticbirds:peacock_feather@0 - 'Peacock Feather']"
42,"extraalchemy","Extra Alchemy","[extraalchemy:potion_bag@0 - 'Alchemy Bag']"
43,"oceanictab","Oceanic Expanse","[oe:glow_ink_sac@0 - 'Glow Ink Sac']"
44,"tabFoodExpansion","Food Expansion","[foodexpansion:itemchocolatebar@0 - 'Chocolate Bar']"
45,"healthhungertweaks","Health and Hunger Tweaks","[healthhungertweaks:health_kit@0 - 'Primitive Health Kit']"
46,"macawbridgestab","Macaw's Bridges","[mcwbridges:most2@0 - 'Iron Bridge End']"
47,"doortab","Macaw's Doors","[mcwdoors:oak_bark_glass_door@0 - 'Oak Bark Glass Door']"
48,"macawslightstab","Macaw's Lights & Lamps","[mcwlights:blue_lamp@0 - 'Blue Lamp']"
49,"wintab","Macaw's Windows","[mcwwindows:oak_window@0 - 'Oak Framed Window']"
50,"mimictab","Deep Below","[mimicfish:esca@0 - 'Esca']"
51,"moglowstone","Mo' Glowstone Mod","[moglowstone:fuelglowstone@0 - 'Glowstone Fuel']"
52,"mutantbeasts","Mutant Beasts","[mutantbeasts:chemical_x@0 - 'Chemical X']"
53,"mysticalworld","Mystical World","[mysticalworld:carapace@0 - 'Carapace']"
54,"novamterramtab","Novam Terram","[nt:conifer_leaves_orange@0 - 'Orange Conifer Leaves']"
55,"xreliquary","Reliquary","[xreliquary:mercy_cross@0 - 'Cross of Mercy']"
56,"rustic.decor","Rustic Decorations","[rustic:vase@0 - 'Pot']"
57,"rustic.farming","Rustic Agriculture","[rustic:olives@0 - 'Olives']"
58,"rustic.alchemy","Rustic Alchemy","[rustic:elixir@0 - 'Elixir of Instant Health']"
59,"rats","Rats","[rats:cheese@0 - 'Cheese']"
60,"rats.upgrades","Rat Upgrades","[rats:rat_upgrade_basic@0 - 'Rat Upgrade: Basic']"
61,"artifacts.creativetab","Artifacts","[artifacts:panic_necklace@0 - 'Panic Necklace']"
62,"scalinghealth","Scaling Health","[scalinghealth:heartcontainer@0 - 'Heart Container']"
63,"tabCreativTabSwitchbow","Switch-Bow","[switchbow:switchbow@0 - 'Switch-Bow']"
64,"uppers","Just An Upper","[uppers:upper@0 - 'Upper']"
65,"waystones","Waystones","[waystones:waystone@0 - 'Waystone']"
66,"zawa_tab_items","ZAWA: Items","[zawa:ralphiki_book@0 - 'Ralphiki's Field Guide']"
67,"zawa_tab_plants","ZAWA: Plants","[zawa:staghorn_coral@0 - 'Staghorn Coral']"
68,"zawa_tab_drops","ZAWA: Drops","[zawa:fur@0 - 'Fur']"
69,"zawa_tab_decor","ZAWA: Decoration","[zawa:bamboo_decortation@0 - 'Bamboo Decoration']"
70,"zawa_tab_entity","ZAWA: Entities","[zawa:great_horned_owl@0 - 'Spawn Great Horned Owl']"
71,"zawa_tab_breeding","ZAWA: Breeding","[zawa:whale_vial@0 - 'Cetacean Vial']"
72,"spookybiomes","Spooky Biomes","[spookybiomes:ghostly_sapling@0 - 'Ghostly Sapling']"
73,"aether_blocks","Aether Blocks","[aether_legacy:aether_grass@0 - 'Aether Grass']"
74,"aether_tools","Aether Tools","[aether_legacy:gravitite_pickaxe@0 - 'Gravitite Pickaxe']"
75,"aether_weapons","Aether Weapons","[aether_legacy:gravitite_sword@0 - 'Gravitite Sword']"
76,"aether_armor","Aether Armor","[aether_legacy:gravitite_helmet@0 - 'Gravitite Helmet']"
77,"aether_food","Aether Foods","[aether_legacy:blue_berry@0 - 'Blue Berry']"
78,"aether_accessories","Aether Accessories","[aether_legacy:gravitite_gloves@0 - 'Gravitite Gloves']"
79,"aether_material","Aether Materials","[aether_legacy:ambrosium_shard@0 - 'Ambrosium Shard']"
80,"aether_misc","Aether Miscellaneous","[aether_legacy:dungeon_key@0 - 'Bronze Key']"
81,"Aquaculture","Aquaculture","[aquaculture:iron_fishing_rod@0 - 'Iron Fishing Rod']"
82,"tabBiomesOPlenty","Biomes O' Plenty","[biomesoplenty:earth@0 - 'Earth']"
83,"iceandfire_items","Ice And Fire Items","[iceandfire:dragon_skull@0 - 'Dragon Skull']"
84,"iceandfire_blocks","Ice And Fire Blocks","[iceandfire:dragonscale_red@0 - 'Block of Dragon Scales']"
85,"spartanweaponry:tabBasic.name","Spartan Weaponry: Vanilla Materials","[spartanweaponry:longsword_diamond@0 - 'Diamond Longsword']"
86,"spartanweaponry:tabModded.name","Spartan Weaponry: Modded Materials","[spartanweaponry:greatsword_copper@0 - 'Copper Greatsword']"
87,"spartanweaponry:tabArrowsAndBolts.name","Spartan Weaponry: Arrows & Bolts","[spartanweaponry:arrow_diamond@0 - 'Diamond Arrow']"
88,"BiblioCraft","BiblioCraft","[bibliocraft:bookcase@0 - 'Oak Bookcase']"
89,"BiblioCraftLights","BiblioCraft Lighting","[bibliocraft:lanterngold@0 - 'Fancy Lantern']"
90,"chococraftplus","§eChocoCraft Plus§r","[chococraftplus:chocoface_yellow@0 - 'Advancement: Caught a Chocobo!']"
91,"comforts","Comforts","[comforts:sleeping_bag@14 - 'Red Sleeping Bag']"
92,"tabDefiledLands","Defiled Lands","[defiledlands:grass_defiled@0 - 'Defiled Grass']"
93,"explorercraft","ExplorerCraft","[explorercraft:ruby@0 - 'Ruby']"
94,"fairylights","Fairy Lights","[fairylights:hanging_lights@0 - 'Hanging Lights']"
95,"tabFamiliarFauna","Familiar Fauna","[familiarfauna:ff_icon@0 - 'item.ff_icon.name']"
96,"mod_lavacow_items","Fish's Undead Rising","[mod_lavacow:undyingheart@0 - 'Undying Heart']"
97,"expansion","End Expansion","[ee:lamented@0 - 'Lamented Eye']"
98,"tabiron_barrels_creative_tab","Iron Barrels","[iron_barrels:iron_barrel@0 - 'Iron Barrel']"
99,"mowziesmobs.creativeTab","Mowzie's Mobs","[mowziesmobs:logo@0 - 'item.logo.name']"
100,"pirates","Pirates","[pirates:sextant@0 - 'Sextant']"
101,"tabPrimitiveMobs","PrimitiveMobs","[primitivemobs:camouflage_dye@0 - 'Camouflage Dye']"
102,"traverse","Traverse","[traverse:fir_sapling@0 - 'Fir Sapling']"
103,"tabProjectVibrantJourneys","Project: Vibrant Journeys","[pvj:leaves_redwood@0 - 'Redwood Leaves']"
104,"radenchants.name","Rad Enchants","[minecraft:enchanted_book@0 - 'Enchanted Book']"
105,"spartanshields:tabBasic.name","Spartan Shields","[spartanshields:shield_basic_stone@0 - 'Stone Braced Shield']"
106,"dungeon_additions","Dungeon Additions Items","[da:flame_helmet@0 - 'Flame Metal Helmet']"
107,"dungeon_additions_blocks","Dungeon Additions Blocks","[da:city_pillar_chisled@0 - 'Chiseled Farum Pillar']"
108,"ebwizardry","Wizardry","[ebwizardry:wizard_handbook@0 - 'The Wizard's Handbook']"
109,"ebwizardrygear","Wizard Gear","[ebwizardry:wizard_hat@0 - 'Wizard Hat']"
110,"ebwizardryspells","Spells","[ebwizardry:spell_book@0 - 'Spell Book']"
111,"stygian_tab","Stygian End Re-Continuation","[stygian:ancient_essence@0 - 'Ancient Essence']"
112,"betterendforge","Better End","[betterendforge:eternal_pedestal@0 - 'Eternal Pedestal']"
113,"doggytalents","Doggy Talents","[doggytalents:training_treat@0 - 'Training Treat']"
114,"doggytalents.dogbed","Dog Bed Variants","[doggytalents:dog_bed@0 - 'Dog Bed']"
115,"farmersdelight","Farmer's Delight","[farmersdelight:tomato@0 - 'Tomato']"
116,"tabFishingMadeBetter","Fishing Made Better","[fishingmadebetter:fishing_rod_diamond@0 - 'Diamond Fishing Rod']"
117,"grimoireofgaia","Grimoire of Gaia 3","[grimoireofgaia:misc_book@0 - 'Book of Memory']"
118,"ironchest","Iron Chests","[ironchest:iron_chest@0 - 'Iron Chest']"
119,"torchmaster","TorchMaster","[torchmaster:mega_torch@0 - 'Mega Torch']"
120,"totf","Traces of the Fallen","[totf:grave_rose@0 - 'Grave Rose']"
121,"tales_items","Tales","[wizardry_tales:ring_protector@0 - 'Protector's Ring']"
122,"tales_rituals","Tales Rituals","[wizardry_tales:ritual_ring_of_fire@0 - 'Ring of Fire Ritual']"
123,"ancientspellcraft","Ancient Spellcraft","[ancientspellcraft:stone_tablet_large@0 - 'Large Stone Tablet']"
124,"ancientspellcraftclassspells","Class Spells","[ancientspellcraft:runic_plate@0 - 'Runic Plate']"
125,"ancientspellcraftgear","Ancient Spellcraft Gear","[ancientspellcraft:ring_blast@0 - 'Blasting Ring']"
126,"ancientspellcraftrituals","Rituals","[ancientspellcraft:ritual_book@0 - 'Ritual Book']"
127,"structurize","Structurize","[structurize:sceptergold@0 - 'Building Tool']"
128,"mia","Minor Integrations and Additions","[mia:armored_glass@0 - 'Armored Glass']"
129,"storagenetwork","Simple Storage Network","[storagenetwork:request@0 - 'Storage Request Table']"
130,"astikorcarts","AstikorCarts","[astikorcarts:wheel@0 - 'Wheel']"
131,"farlanders","The Farlanders","[farlanders:mystic_wand_fire_small@0 - 'Mystic Wand']"
132,"bibliowoodboptab","itemGroup.bibliowoodboptab","[bibliocraft:bookcase@6 - 'Framed Bookcase']"
133,"bibliowoodnaturatab","itemGroup.bibliowoodnaturatab","[bibliocraft:bookcase@6 - 'Framed Bookcase']"
