"Registry name","Name","Type","Rarity","ID"
"ancientbeasts:hook","enchantment.ancientbeasts.hook","WEAPON","COMMON",26
"ancientbeasts:pulling","enchantment.ancientbeasts.pulling","WEAPON","COMMON",25
"ancientspellcraft:degrade_bow","enchantment.ancientspellcraft:degrade_bow","<null>","COMMON",228
"ancientspellcraft:degrade_sword","enchantment.ancientspellcraft:degrade_sword","<null>","COMMON",227
"ancientspellcraft:static_charge","enchantment.ancientspellcraft:static_charge","<null>","COMMON",226
"aquaculture:appealing","enchantment.aquacultureAppealing","fishingPole","RARE",236
"aquaculture:barbed_hook","enchantment.aquacultureBarbedHook","fishingPole","VERY_RARE",241
"aquaculture:double_hook","enchantment.aquacultureDoubleHook","fishingPole","VERY_RARE",240
"aquaculture:heavy_line","enchantment.aquacultureHeavyLine","fishingPole","UNCOMMON",242
"aquaculture:long_cast","enchantment.aquacultureLongCast","fishingPole","COMMON",238
"aquaculture:magnetic","enchantment.aquacultureMagnetic","fishingPole","RARE",237
"aquaculture:short_cast","enchantment.aquacultureShortCast","fishingPole","COMMON",239
"betterendforge:end_veil","enchantment.end_veil","ARMOR_HEAD","VERY_RARE",28
"bibliocraft:bibliocraft.deathcompassench","Eternal Compass","ALL","VERY_RARE",143
"bibliocraft:bibliocraft.readingench","Reading","ARMOR_HEAD","UNCOMMON",144
"charm:clumsiness_curse","charm.enchantment.clumsiness_curse","WEAPON","VERY_RARE",232
"charm:curse_break","charm.enchantment.curse_break","BREAKABLE","RARE",230
"charm:harming_curse","charm.enchantment.harming_curse","ALL","VERY_RARE",234
"charm:haunting_curse","charm.enchantment.haunting_curse","WEAPON","VERY_RARE",233
"charm:magnetic","charm.enchantment.magnetic","DIGGER","RARE",235
"charm:rusting_curse","charm.enchantment.rusting_curse","ALL","VERY_RARE",231
"cqrepoured:lightning_protection","enchantment.lightning_protection","ARMOR_HEAD","RARE",145
"cqrepoured:spectral","enchantment.spectral","WEAPON","VERY_RARE",146
"crossbows:multishot","enchantment.crossbows.multishot","crossbow","RARE",148
