"Mod name","Registry name","Entity class name","ID"
"Abyssal Depths","abyssaldepths:bannerfish","Banner",7
"Abyssal Depths","abyssaldepths:blackcap_basslet","BlackCap",9
"Abyssal Depths","abyssaldepths:butterflyfish","Butterflyfish",3
"Abyssal Depths","abyssaldepths:clownfish","Clownfish",1
"Abyssal Depths","abyssaldepths:fairy_basslet","Fairy",8
"Abyssal Depths","abyssaldepths:fish","CommonFish",0
"Abyssal Depths","abyssaldepths:masked_butterflyfish","Masked",4
"Abyssal Depths","abyssaldepths:raccoon_butterflyfish","Raccoon",5
"Abyssal Depths","abyssaldepths:sailfish","Sailfish",10
"Abyssal Depths","abyssaldepths:sea_serpent","SeaSerpent",12
"Abyssal Depths","abyssaldepths:seahorse","Seahorse",2
"Abyssal Depths","abyssaldepths:spotfin_butterflyfish","Spotfin",6
"Abyssal Depths","abyssaldepths:swordfish","Swordfish",11
"Advanced Fishing","advanced-fishing:custom_fish_hook","EntityCustomFishHook",0
"Advanced Fishing","advanced-fishing:fireproof_item","EntityFireproofItem",2
"Advanced Fishing","advanced-fishing:lava_fish_hook","EntityLavaFishHook",1
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_bard","NpcBard",5
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_combat","NpcCombat",0
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_courier","NpcCourier",2
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_priest","NpcPriest",4
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_siege_engineer","NpcSiegeEngineer",6
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_trader","NpcTrader",3
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_worker","NpcWorker",1
"Ancient Warfare NPCs","ancientwarfarenpc:faction.archer","NpcFactionArcher",7
"Ancient Warfare NPCs","ancientwarfarenpc:faction.archer.elite","NpcFactionArcherElite",16
"Ancient Warfare NPCs","ancientwarfarenpc:faction.bard","NpcFactionBard",19
"Ancient Warfare NPCs","ancientwarfarenpc:faction.cavalry","NpcFactionMountedSoldier",12
"Ancient Warfare NPCs","ancientwarfarenpc:faction.civilian.female","NpcFactionCivilianFemale",15
"Ancient Warfare NPCs","ancientwarfarenpc:faction.civilian.male","NpcFactionCivilianMale",14
"Ancient Warfare NPCs","ancientwarfarenpc:faction.leader","NpcFactionLeader",9
"Ancient Warfare NPCs","ancientwarfarenpc:faction.leader.elite","NpcFactionLeaderElite",18
"Ancient Warfare NPCs","ancientwarfarenpc:faction.mounted_archer","NpcFactionMountedArcher",13
"Ancient Warfare NPCs","ancientwarfarenpc:faction.priest","NpcFactionPriest",10
"Ancient Warfare NPCs","ancientwarfarenpc:faction.siege_engineer","NpcFactionSiegeEngineer",20
"Ancient Warfare NPCs","ancientwarfarenpc:faction.soldier","NpcFactionSoldier",8
"Ancient Warfare NPCs","ancientwarfarenpc:faction.soldier.elite","NpcFactionSoldierElite",17
"Ancient Warfare NPCs","ancientwarfarenpc:faction.spellcaster","NpcFactionSpellcasterWizardry",21
"Ancient Warfare NPCs","ancientwarfarenpc:faction.trader","NpcFactionTrader",11
"Ancient Warfare Structures","ancientwarfarestructure:aw_gate","EntityGate",0
"Ancient Warfare Structures","ancientwarfarestructure:seat","EntitySeat",1
"Ancient Warfare Vehicles","ancientwarfarevehicle:missile","MissileBase",1
"Ancient Warfare Vehicles","ancientwarfarevehicle:vehicle","VehicleBase",0
"AncientSpellcraft","ancientspellcraft:animated_item","EntityAnimatedItem",33
"AncientSpellcraft","ancientspellcraft:anti_magic_field","EntityAntiMagicField",25
"AncientSpellcraft","ancientspellcraft:aoe_projectile_entity","EntityAOEProjectile",46
