"Mod name","Registry name","Entity class name","ID"
"Abyssal Depths","abyssaldepths:bannerfish","chumbanotz.abyssaldepths.entity.fish.Butterflyfish$Banner",7
"Abyssal Depths","abyssaldepths:blackcap_basslet","chumbanotz.abyssaldepths.entity.fish.Basslet$BlackCap",9
"Abyssal Depths","abyssaldepths:butterflyfish","chumbanotz.abyssaldepths.entity.fish.Butterflyfish",3
"Abyssal Depths","abyssaldepths:clownfish","chumbanotz.abyssaldepths.entity.fish.Clownfish",1
"Abyssal Depths","abyssaldepths:fairy_basslet","chumbanotz.abyssaldepths.entity.fish.Basslet$Fairy",8
"Abyssal Depths","abyssaldepths:fish","chumbanotz.abyssaldepths.entity.fish.CommonFish",0
"Abyssal Depths","abyssaldepths:masked_butterflyfish","chumbanotz.abyssaldepths.entity.fish.Butterflyfish$Masked",4
"Abyssal Depths","abyssaldepths:raccoon_butterflyfish","chumbanotz.abyssaldepths.entity.fish.Butterflyfish$Raccoon",5
"Abyssal Depths","abyssaldepths:sailfish","chumbanotz.abyssaldepths.entity.billfish.Sailfish",10
"Abyssal Depths","abyssaldepths:sea_serpent","chumbanotz.abyssaldepths.entity.SeaSerpent",12
"Abyssal Depths","abyssaldepths:seahorse","chumbanotz.abyssaldepths.entity.Seahorse",2
"Abyssal Depths","abyssaldepths:spotfin_butterflyfish","chumbanotz.abyssaldepths.entity.fish.Butterflyfish$Spotfin",6
"Abyssal Depths","abyssaldepths:swordfish","chumbanotz.abyssaldepths.entity.billfish.Swordfish",11
"Advanced Fishing","advanced-fishing:custom_fish_hook","nightkosh.advanced_fishing.entity.projectile.EntityCustomFishHook",0
"Advanced Fishing","advanced-fishing:fireproof_item","nightkosh.advanced_fishing.entity.item.EntityFireproofItem",2
"Advanced Fishing","advanced-fishing:lava_fish_hook","nightkosh.advanced_fishing.entity.projectile.EntityLavaFishHook",1
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_bard","net.shadowmage.ancientwarfare.npc.entity.NpcBard",5
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_combat","net.shadowmage.ancientwarfare.npc.entity.NpcCombat",0
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_courier","net.shadowmage.ancientwarfare.npc.entity.NpcCourier",2
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_priest","net.shadowmage.ancientwarfare.npc.entity.NpcPriest",4
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_siege_engineer","net.shadowmage.ancientwarfare.npc.entity.vehicle.NpcSiegeEngineer",6
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_trader","net.shadowmage.ancientwarfare.npc.entity.NpcTrader",3
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_worker","net.shadowmage.ancientwarfare.npc.entity.NpcWorker",1
"Ancient Warfare NPCs","ancientwarfarenpc:faction.archer","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionArcher",7
"Ancient Warfare NPCs","ancientwarfarenpc:faction.archer.elite","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionArcherElite",16
"Ancient Warfare NPCs","ancientwarfarenpc:faction.bard","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionBard",19
"Ancient Warfare NPCs","ancientwarfarenpc:faction.cavalry","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionMountedSoldier",12
"Ancient Warfare NPCs","ancientwarfarenpc:faction.civilian.female","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionCivilianFemale",15
"Ancient Warfare NPCs","ancientwarfarenpc:faction.civilian.male","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionCivilianMale",14
"Ancient Warfare NPCs","ancientwarfarenpc:faction.leader","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionLeader",9
"Ancient Warfare NPCs","ancientwarfarenpc:faction.leader.elite","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionLeaderElite",18
"Ancient Warfare NPCs","ancientwarfarenpc:faction.mounted_archer","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionMountedArcher",13
"Ancient Warfare NPCs","ancientwarfarenpc:faction.priest","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionPriest",10
"Ancient Warfare NPCs","ancientwarfarenpc:faction.siege_engineer","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionSiegeEngineer",20
"Ancient Warfare NPCs","ancientwarfarenpc:faction.soldier","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionSoldier",8
"Ancient Warfare NPCs","ancientwarfarenpc:faction.soldier.elite","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionSoldierElite",17
"Ancient Warfare NPCs","ancientwarfarenpc:faction.spellcaster","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionSpellcasterWizardry",21
"Ancient Warfare NPCs","ancientwarfarenpc:faction.trader","net.shadowmage.ancientwarfare.npc.entity.faction.NpcFactionTrader",11
"Ancient Warfare Structures","ancientwarfarestructure:aw_gate","net.shadowmage.ancientwarfare.structure.entity.EntityGate",0
"Ancient Warfare Structures","ancientwarfarestructure:seat","net.shadowmage.ancientwarfare.structure.entity.EntitySeat",1
"Ancient Warfare Vehicles","ancientwarfarevehicle:missile","net.shadowmage.ancientwarfare.vehicle.missiles.MissileBase",1
"Ancient Warfare Vehicles","ancientwarfarevehicle:vehicle","net.shadowmage.ancientwarfare.vehicle.entity.VehicleBase",0
"AncientSpellcraft","ancientspellcraft:animated_item","com.windanesz.ancientspellcraft.entity.living.EntityAnimatedItem",33
"AncientSpellcraft","ancientspellcraft:anti_magic_field","com.windanesz.ancientspellcraft.entity.construct.EntityAntiMagicField",25
"AncientSpellcraft","ancientspellcraft:aoe_projectile_entity","com.windanesz.ancientspellcraft.entity.projectile.EntityAOEProjectile",46
"AncientSpellcraft","ancientspellcraft:arcane_barrier","com.windanesz.ancientspellcraft.entity.construct.EntityArcaneBarrier",45
"AncientSpellcraft","ancientspellcraft:barter_entity","com.windanesz.ancientspellcraft.entity.construct.EntityBarterConstruct",44
"AncientSpellcraft","ancientspellcraft:builder_entity","com.windanesz.ancientspellcraft.entity.construct.EntityBuilder",32
"AncientSpellcraft","ancientspellcraft:chaos_field","com.windanesz.ancientspellcraft.entity.construct.EntityChaosField",26
"AncientSpellcraft","ancientspellcraft:chaos_orb","com.windanesz.ancientspellcraft.entity.EntityChaosOrb",9
"AncientSpellcraft","ancientspellcraft:class_wizard","com.windanesz.ancientspellcraft.entity.living.EntityClassWizard",43
"AncientSpellcraft","ancientspellcraft:contingency_projectile","com.windanesz.ancientspellcraft.entity.projectile.EntityMetamagicProjectile",27
"AncientSpellcraft","ancientspellcraft:creeper_minion","com.windanesz.ancientspellcraft.entity.living.EntityCreeperMinion",36
"AncientSpellcraft","ancientspellcraft:devoritium_arrow","com.windanesz.ancientspellcraft.entity.projectile.EntityDevoritiumArrow",7
"AncientSpellcraft","ancientspellcraft:devoritium_bomb","com.windanesz.ancientspellcraft.entity.projectile.EntityDevoritiumBomb",6
"AncientSpellcraft","ancientspellcraft:dispel_greater_magic","com.windanesz.ancientspellcraft.entity.projectile.EntityDispelGreaterMagic",4
"AncientSpellcraft","ancientspellcraft:dispel_magic","com.windanesz.ancientspellcraft.entity.projectile.EntityDispelMagic",3
"AncientSpellcraft","ancientspellcraft:entity_volcano","com.windanesz.ancientspellcraft.entity.living.EntityVolcano",24
"AncientSpellcraft","ancientspellcraft:evil_class_wizard","com.windanesz.ancientspellcraft.entity.living.EntityEvilClassWizard",42
"AncientSpellcraft","ancientspellcraft:fire_ant","com.windanesz.ancientspellcraft.entity.living.EntityFireAnt",17
"AncientSpellcraft","ancientspellcraft:flint_projectile","com.windanesz.ancientspellcraft.entity.projectile.EntityFlint",8
"AncientSpellcraft","ancientspellcraft:healing_heart","com.windanesz.ancientspellcraft.entity.projectile.EntityHeart",2
"AncientSpellcraft","ancientspellcraft:healing_sigil","com.windanesz.ancientspellcraft.entity.construct.EntityHealingSigil",23
"AncientSpellcraft","ancientspellcraft:mage_light_entity","com.windanesz.ancientspellcraft.entity.EntityMageLight",1
"AncientSpellcraft","ancientspellcraft:master_bolt","com.windanesz.ancientspellcraft.entity.projectile.EntityMasterBolt",34
"AncientSpellcraft","ancientspellcraft:metamagic_projectile","com.windanesz.ancientspellcraft.entity.projectile.EntityContingencyProjectile",28
"AncientSpellcraft","ancientspellcraft:molten_boulder","com.windanesz.ancientspellcraft.entity.construct.EntityMoltenBoulder",35
"AncientSpellcraft","ancientspellcraft:mushroom_forest","com.windanesz.ancientspellcraft.entity.construct.EntitySpellTicker",31
"AncientSpellcraft","ancientspellcraft:ordinary_spider_minion","com.windanesz.ancientspellcraft.entity.living.EntityOrdinarySpiderMinion",19
"AncientSpellcraft","ancientspellcraft:pig_zombie_minion","com.windanesz.ancientspellcraft.entity.living.EntityPigZombieMinion",37
"AncientSpellcraft","ancientspellcraft:remnant_minion","com.windanesz.ancientspellcraft.entity.living.EntityRemnantMinion",38
"AncientSpellcraft","ancientspellcraft:safe_ice_shard","com.windanesz.ancientspellcraft.entity.projectile.EntitySafeIceShard",10
"AncientSpellcraft","ancientspellcraft:sentinel","com.windanesz.ancientspellcraft.entity.construct.EntitySentinel",29
"AncientSpellcraft","ancientspellcraft:silencing_sigil","com.windanesz.ancientspellcraft.entity.construct.EntitySilencingSigil",22
"AncientSpellcraft","ancientspellcraft:skeleton_horse_minion","com.windanesz.ancientspellcraft.entity.living.EntitySkeletonHorseMinion",18
"AncientSpellcraft","ancientspellcraft:skeleton_mage","com.windanesz.ancientspellcraft.entity.living.EntitySkeletonMage",13
"AncientSpellcraft","ancientspellcraft:skeleton_mage_minion","com.windanesz.ancientspellcraft.entity.living.EntitySkeletonMageMinion",12
"AncientSpellcraft","ancientspellcraft:spellcaster_entity","com.windanesz.ancientspellcraft.entity.living.EntitySpellCaster",30
"AncientSpellcraft","ancientspellcraft:spirit_bear","com.windanesz.ancientspellcraft.entity.living.EntitySpiritBear",15
"AncientSpellcraft","ancientspellcraft:spirit_ward","com.windanesz.ancientspellcraft.entity.construct.EntitySpiritWard",21
"AncientSpellcraft","ancientspellcraft:stone_guardian","com.windanesz.ancientspellcraft.entity.living.EntityStoneGuardian",39
"AncientSpellcraft","ancientspellcraft:stone_guardian_shard","com.windanesz.ancientspellcraft.entity.projectile.EntityStoneGuardianShard",40
"AncientSpellcraft","ancientspellcraft:transportation_portal","com.windanesz.ancientspellcraft.entity.construct.EntityTransportationPortal",20
"AncientSpellcraft","ancientspellcraft:venus_fly_trap","com.windanesz.ancientspellcraft.entity.construct.EntityVenusFlyTrap",16
"AncientSpellcraft","ancientspellcraft:void_creeper","com.windanesz.ancientspellcraft.entity.living.EntityVoidCreeper",11
"AncientSpellcraft","ancientspellcraft:will_o_wisp","com.windanesz.ancientspellcraft.entity.EntityWisp",0
"AncientSpellcraft","ancientspellcraft:wizard_blast","com.windanesz.ancientspellcraft.entity.projectile.EntityManaVortex",5
"AncientSpellcraft","ancientspellcraft:wizardmerchant","com.windanesz.ancientspellcraft.entity.living.EntityWizardMerchant",41
"AncientSpellcraft","ancientspellcraft:wolf_minion","com.windanesz.ancientspellcraft.entity.living.EntityWolfMinion",14
"Aquaculture","aquaculture:custom_fish_hook","com.teammetallurgy.aquaculture.handlers.EntityCustomFishHook",0
"Arcane Essentials","arcane_essentials:blockspawner","com.favouritedragon.arcaneessentials.common.entity.EntityFallingBlockSpawner",14
"Arcane Essentials","arcane_essentials:cyclonebolt","com.favouritedragon.arcaneessentials.common.entity.EntityCycloneBolt",15
"Arcane Essentials","arcane_essentials:cyloneshield","com.favouritedragon.arcaneessentials.common.entity.EntityCycloneShield",8
"Arcane Essentials","arcane_essentials:fireball","com.favouritedragon.arcaneessentials.common.entity.EntityFireball",16
"Arcane Essentials","arcane_essentials:flamepillar","com.favouritedragon.arcaneessentials.common.entity.EntityFlamePillar",6
"Arcane Essentials","arcane_essentials:flamepillarspawner","com.favouritedragon.arcaneessentials.common.entity.EntityFlamePillarSpawner",12
"Arcane Essentials","arcane_essentials:flameslash","com.favouritedragon.arcaneessentials.common.entity.EntityFlameSlash",17
"Arcane Essentials","arcane_essentials:floatingblock","com.favouritedragon.arcaneessentials.common.entity.EntityFloatingBlock",18
"Arcane Essentials","arcane_essentials:lightningspawner","com.favouritedragon.arcaneessentials.common.entity.EntityLightningSpawner",13
"Arcane Essentials","arcane_essentials:lightningvortex","com.favouritedragon.arcaneessentials.common.entity.EntityLightningVortex",5
"Arcane Essentials","arcane_essentials:magicbolt","com.favouritedragon.arcaneessentials.common.entity.EntityMagicBolt",2
"Arcane Essentials","arcane_essentials:magicconstruct","com.favouritedragon.arcaneessentials.common.entity.EntityMagicConstruct",1
"Arcane Essentials","arcane_essentials:magiclightning","com.favouritedragon.arcaneessentials.common.entity.EntityMagicLightning",10
"Arcane Essentials","arcane_essentials:magicspawner","com.favouritedragon.arcaneessentials.common.entity.EntityMagicSpawner",3
"Arcane Essentials","arcane_essentials:saintesssun","com.favouritedragon.arcaneessentials.common.entity.EntitySaintessSun",11
"Arcane Essentials","arcane_essentials:solarbeam","com.favouritedragon.arcaneessentials.common.entity.EntitySolarBeam",9
"Arcane Essentials","arcane_essentials:thunderburst","com.favouritedragon.arcaneessentials.common.entity.EntityThunderBurst",4
"Arcane Essentials","arcane_essentials:waterball","com.favouritedragon.arcaneessentials.common.entity.EntityWaterBall",19
"Arcane Essentials","arcane_essentials:whirlpool","com.favouritedragon.arcaneessentials.common.entity.EntityWhirlpool",7
"ArcaneApprentices","arcaneapprentices:wizard_initiate","com.windanesz.arcaneapprentices.entity.living.EntityWizardInitiate",1
"AstikorCarts","astikorcarts:cargocart","de.mennomax.astikorcarts.entity.EntityCargoCart",0
"AstikorCarts","astikorcarts:mobcart","de.mennomax.astikorcarts.entity.EntityMobCart",2
