"Name","Density","Temperature","Viscosity","Luminosity","Rarity","isGaseous","Block"
"ale",1004,300,1016,0,"COMMON","false","-"
"alewort",1004,300,2000,0,"COMMON","false","rustic:ale_wort"
"ambrosia",1004,300,1400,0,"EPIC","false","-"
"applejuice",1050,300,1100,0,"COMMON","false","rustic:apple_juice"
"bare_acid",1100,300,900,10,"COMMON","false","ee:bare_acid"
"beetroot_soup",1000,300,1000,0,"COMMON","false","-"
"blood",1000,300,1000,0,"COMMON","false","biomesoplenty:blood"
"cider",1004,300,1400,0,"COMMON","false","-"
"endacid",1100,300,900,5,"COMMON","false","stygian:endacid"
"goldenapplejuice",1050,300,1100,0,"EPIC","false","rustic:golden_apple_juice"
"grapejuice",1070,300,1100,0,"COMMON","false","rustic:grape_juice"
"honey",1000,300,1500,0,"COMMON","false","biomesoplenty:honey"
"hot_spring_water",1000,300,1000,0,"COMMON","false","biomesoplenty:hot_spring_water"
"ironberryjuice",1100,300,1100,0,"COMMON","false","rustic:ironberry_juice"
"ironwine",1034,300,1400,0,"COMMON","false","-"
"lava",3000,1300,6000,15,"COMMON","false","minecraft:lava"
"mead",1034,300,1500,0,"COMMON","false","-"
"milk",1000,300,1000,0,"COMMON","false","-"
"mushroom_stew",1000,300,1000,0,"COMMON","false","-"
"oliveoil",920,300,2000,0,"COMMON","false","rustic:olive_oil"
"poison",1000,300,1000,0,"COMMON","false","biomesoplenty:poison"
"potato_soup",1000,300,1000,0,"COMMON","false","-"
"rabbit_stew",1000,300,1000,0,"COMMON","false","-"
"sand",50000,300,10000,0,"COMMON","false","biomesoplenty:sand"
"vantaoil",920,300,2000,0,"COMMON","false","-"
"water",1000,300,1000,0,"COMMON","false","minecraft:water"
"wildberryjuice",1070,300,1100,0,"COMMON","false","rustic:wildberry_juice"
"wildberrywine",1034,300,1500,0,"COMMON","false","-"
"wine",1034,300,1500,0,"COMMON","false","-"
"xpjuice",800,300,1500,10,"COMMON","false","-"
