"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Hunger","Saturation","Ore Dict keys"
"Abyssal Depths","abyssaldepths:bannerfish",4743,0,"false","Bannerfish",3,0.4,""
"Abyssal Depths","abyssaldepths:butterflyfish",4744,0,"false","Butterflyfish",2,0.1,""
"Abyssal Depths","abyssaldepths:cooked_butterflyfish",4745,0,"false","Cooked Butterflyfish",6,0.6,""
"Abyssal Depths","abyssaldepths:masked_butterflyfish",4746,0,"false","Masked Butterflyfish",2,0.1,""
"Abyssal Depths","abyssaldepths:raccoon_butterflyfish",4747,0,"false","Raccoon Butterflyfish",2,0.1,""
"Abyssal Depths","abyssaldepths:spotfin_butterflyfish",4748,0,"false","Spotfin Butterflyfish",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,0,"true","Jellyfish",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,1,"true","Magma Jellyfish",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,2,"true","Mud Tuna",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,3,"true","Frost Minnow",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,4,"true","Piranha",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,5,"true","Golden Koi",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,6,"true","Specular Snapper",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,7,"true","Cave Trout",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,8,"true","Obsidian Bream",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,9,"true","Nether Sturgeon",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,10,"true","Quartz Chub",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,11,"true","Flarefin Koi",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,12,"true","Blaze Pike",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,13,"true","Ender Shad",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,14,"true","Pearl Sardine",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,15,"true","Chorus Koi",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,16,"true","Explosive Crucian",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,17,"true","Ruffe",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,18,"true","Sparkling Eel",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,19,"true","Angelfish",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,20,"true","Angler Fish",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,21,"true","Sponge Eater",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,22,"true","Snowy Walleye",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,23,"true","Squid",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,24,"true","Withered Crucian",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,25,"true","Sandy Bass",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,26,"true","Mandarinfish",3,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,27,"true","Red Shroomfin",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,28,"true","Brown Shroomfin",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,29,"true","Fungi Catfish",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,30,"true","Swamp Plaice",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,31,"true","Crystal Mullet",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,32,"true","Charged Bullhead",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,33,"true","Abyssal Lurker",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,34,"true","Sunfish",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,35,"true","Glacier Anchovy",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,36,"true","Catfish",3,0.2,""
"Advanced Fishing","advanced-fishing:fish",4750,37,"true","Pike",2,0.2,""
"Advanced Fishing","advanced-fishing:fish",4750,38,"true","Magikarp",1,0.05,""
"Advanced Fishing","advanced-fishing:fish",4750,39,"true","Green Jellyfish",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,40,"true","Bonefish",1,0.05,""
"Advanced Fishing","advanced-fishing:fish",4750,41,"true","Cursed Koi",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4750,42,"true","Spookyfin",1,0.1,""
"Ancient Warfare NPCs","ancientwarfarenpc:food_bundle",4833,0,"false","Food Bundle",15,1.0,"foodBundle"
"AncientSpellcraft","ancientspellcraft:ice_cream",12325,0,"false","Ice Cream",1,0.6,""
"Aquaculture","aquaculture:food",4102,0,"true","Seaweed",2,0.0,"cropSeaweed"
"Aquaculture","aquaculture:food",4102,1,"true","Algae",2,0.0,""
"Aquaculture","aquaculture:food",4102,2,"true","Raw Whale Steak",2,0.3,""
"Aquaculture","aquaculture:food",4102,3,"true","Raw Fish Fillet",2,0.3,"listAllfishraw"
"Aquaculture","aquaculture:food",4102,4,"true","Cooked Fish Fillet",5,0.6,"listAllfishcooked"
"Aquaculture","aquaculture:food",4102,5,"true","Cooked Whale Steak",10,0.8,""
"Aquaculture","aquaculture:food",4102,6,"true","Cooked Whale Burger",20,0.8,""
"Aquaculture","aquaculture:food",4102,7,"true","Frog Legs",2,0.3,""
"Aquaculture","aquaculture:food",4102,8,"true","Cooked Frog Legs",3,0.6,""
"Aquaculture","aquaculture:food",4102,9,"true","Turtle Soup",6,0.6,""
"Aquaculture","aquaculture:food",4102,10,"true","Sushi",4,0.6,""
"Beast Slayer","ancientbeasts:cactus_broth",5719,0,"false","Cactus Broth",12,0.8,""
"Better Animals Plus","betteranimalsplus:blubber",5834,0,"false","Blubber",1,2.0,""
"Better Animals Plus","betteranimalsplus:cheese",5865,0,"false","Cheese Wheel",6,2.0,"foodCheese"
"Better Animals Plus","betteranimalsplus:crab_meat_cooked",5858,0,"false","Cooked Crab Meat",6,1.6,"listAllfishcooked"
"Better Animals Plus","betteranimalsplus:crab_meat_raw",5857,0,"false","Raw Crab Meat",4,1.0,"listAllfishraw"
"Better Animals Plus","betteranimalsplus:eel_meat_cooked",5869,0,"false","Cooked Eel Meat",8,1.6,""
"Better Animals Plus","betteranimalsplus:eel_meat_raw",5868,0,"false","Raw Eel Meat",1,0.0,""
"Better Animals Plus","betteranimalsplus:fried_egg",5870,0,"false","Fried Egg",6,1.0,""
"Better Animals Plus","betteranimalsplus:goatcheese",5836,0,"false","Goat Cheese Wheel",6,2.0,"foodCheese,foodGoatCheese"
"Better Animals Plus","betteranimalsplus:pheasantcooked",5838,0,"false","Cooked Pheasant",8,1.6,"listAllmeatcooked"
