"Mod name","Registry name","Item ID","Meta/dmg","Display name","Recipe name","Ore Dict keys"
"Abyssal Depths","abyssaldepths:goggles",4727,0,"Goggles","abyssaldepths:goggles",""
"Abyssal Depths","abyssaldepths:long_billfish_spike",4729,0,"Long Billfish Spike","abyssaldepths:long_billfish_spike",""
"Abyssal Depths","abyssaldepths:spike_sword",4730,0,"Spike Sword","abyssaldepths:spike_sword",""
"Aether Continuation","aether_legacy:aether_lever",12815,0,"Holystone Lever","aether_legacy_addon:aether_lever",""
"Aether Continuation","aether_legacy:aetherion_chest",12810,0,"Aetherion Chest","aether_legacy_addon:aetherion_chest","chest,chestAetherion"
"Aether Continuation","aether_legacy:aetherium_core",12830,0,"Aetherium Core","aether_legacy_addon:aetherium_core",""
"Aether Continuation","aether_legacy:ambrosium_block",12814,0,"Block of Ambrosium","aether_legacy_addon:ambrosium_block",""
"Aether Continuation","aether_legacy:ambrosium_shard",12692,0,"Ambrosium Shard","aether_legacy_addon:ambrosium_from_block","gemAmbrosium"
"Aether Continuation","aether_legacy:holystone_button",12819,0,"Holystone Button","aether_legacy_addon:holystone_button",""
"Aether Continuation","aether_legacy:holystone_pressure_plate",12816,0,"Holystone Pressure Plate","aether_legacy_addon:holystone_pressure_plate",""
"Aether Continuation","aether_legacy:quicksoil_glass_pane",12812,0,"Quicksoil Glass Pane","aether_legacy_addon:quicksoil_glass_pane","paneGlass"
"Aether Continuation","aether_legacy:skyroot_button",12820,0,"Skyroot Button","aether_legacy_addon:skyroot_button","buttonWood"
"Aether Continuation","aether_legacy:skyroot_chest",12809,0,"Skyroot Chest","aether_legacy_addon:skyroot_chest","chest,chestWood"
"Aether Continuation","aether_legacy:skyroot_crafting_table",12808,0,"Skyroot Crafting Table","aether_legacy_addon:skyroot_crafting_table","workbench"
"Aether Continuation","aether_legacy:skyroot_door",12823,0,"Skyroot Door","aether_legacy_addon:skyroot_door","doorWood"
"Aether Continuation","aether_legacy:skyroot_ladder",12811,0,"Skyroot Ladder","aether_legacy_addon:skyroot_ladder",""
"Aether Continuation","aether_legacy:skyroot_pressure_plate",12817,0,"Skyroot Pressure Plate","aether_legacy_addon:skyroot_pressure_plate","pressurePlateWood"
"Aether Continuation","aether_legacy:skyroot_sign",12825,0,"Skyroot Sign","aether_legacy_addon:skyroot_sign",""
"Aether Continuation","aether_legacy:skyroot_trapdoor",12821,0,"Skyroot Trapdoor","aether_legacy_addon:skyroot_trapdoor","trapdoorWood"
"Aether Continuation","aether_legacy:zanite_bars",12813,0,"Zanite Bars","aether_legacy_addon:zanite_bars",""
"Aether Continuation","aether_legacy:zanite_door",12824,0,"Zanite Door","aether_legacy_addon:zanite_door",""
"Aether Continuation","aether_legacy:zanite_pressure_plate",12818,0,"Zanite Pressure Plate","aether_legacy_addon:zanite_pressure_plate",""
"Aether Continuation","aether_legacy:zanite_trapdoor",12822,0,"Zanite Trapdoor","aether_legacy_addon:zanite_trapdoor",""
