"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Ore Dict keys"
"Abyssal Depths","abyssaldepths:bannerfish",4743,0,"false","Bannerfish",""
"Abyssal Depths","abyssaldepths:butterflyfish",4744,0,"false","Butterflyfish",""
"Abyssal Depths","abyssaldepths:cooked_butterflyfish",4745,0,"false","Cooked Butterflyfish",""
"Abyssal Depths","abyssaldepths:goggles",4739,0,"false","Goggles",""
"Abyssal Depths","abyssaldepths:long_billfish_spike",4741,0,"false","Long Billfish Spike",""
"Abyssal Depths","abyssaldepths:masked_butterflyfish",4746,0,"false","Masked Butterflyfish",""
"Abyssal Depths","abyssaldepths:raccoon_butterflyfish",4747,0,"false","Raccoon Butterflyfish",""
"Abyssal Depths","abyssaldepths:seaweed",4738,0,"false","Seaweed",""
"Abyssal Depths","abyssaldepths:short_billfish_spike",4740,0,"false","Short Billfish Spike",""
"Abyssal Depths","abyssaldepths:spike_sword",4742,0,"false","Spike Sword",""
"Abyssal Depths","abyssaldepths:spotfin_butterflyfish",4748,0,"false","Spotfin Butterflyfish",""
"Advanced Fishing","advanced-fishing:blazing_fishing_pole",4749,0,"false","Blazing Fishing Pole",""
"Advanced Fishing","advanced-fishing:fish",4750,0,"true","Jellyfish",""
"Advanced Fishing","advanced-fishing:fish",4750,1,"true","Magma Jellyfish",""
"Advanced Fishing","advanced-fishing:fish",4750,2,"true","Mud Tuna",""
"Advanced Fishing","advanced-fishing:fish",4750,3,"true","Frost Minnow",""
"Advanced Fishing","advanced-fishing:fish",4750,4,"true","Piranha",""
"Advanced Fishing","advanced-fishing:fish",4750,5,"true","Golden Koi",""
"Advanced Fishing","advanced-fishing:fish",4750,6,"true","Specular Snapper",""
"Advanced Fishing","advanced-fishing:fish",4750,7,"true","Cave Trout",""
"Advanced Fishing","advanced-fishing:fish",4750,8,"true","Obsidian Bream",""
"Advanced Fishing","advanced-fishing:fish",4750,9,"true","Nether Sturgeon",""
"Advanced Fishing","advanced-fishing:fish",4750,10,"true","Quartz Chub",""
"Advanced Fishing","advanced-fishing:fish",4750,11,"true","Flarefin Koi",""
"Advanced Fishing","advanced-fishing:fish",4750,12,"true","Blaze Pike",""
"Advanced Fishing","advanced-fishing:fish",4750,13,"true","Ender Shad",""
"Advanced Fishing","advanced-fishing:fish",4750,14,"true","Pearl Sardine",""
"Advanced Fishing","advanced-fishing:fish",4750,15,"true","Chorus Koi",""
"Advanced Fishing","advanced-fishing:fish",4750,16,"true","Explosive Crucian",""
"Advanced Fishing","advanced-fishing:fish",4750,17,"true","Ruffe",""
"Advanced Fishing","advanced-fishing:fish",4750,18,"true","Sparkling Eel",""
"Advanced Fishing","advanced-fishing:fish",4750,19,"true","Angelfish",""
"Advanced Fishing","advanced-fishing:fish",4750,20,"true","Angler Fish",""
"Advanced Fishing","advanced-fishing:fish",4750,21,"true","Sponge Eater",""
"Advanced Fishing","advanced-fishing:fish",4750,22,"true","Snowy Walleye",""
"Advanced Fishing","advanced-fishing:fish",4750,23,"true","Squid",""
"Advanced Fishing","advanced-fishing:fish",4750,24,"true","Withered Crucian",""
"Advanced Fishing","advanced-fishing:fish",4750,25,"true","Sandy Bass",""
"Advanced Fishing","advanced-fishing:fish",4750,26,"true","Mandarinfish",""
"Advanced Fishing","advanced-fishing:fish",4750,27,"true","Red Shroomfin",""
"Advanced Fishing","advanced-fishing:fish",4750,28,"true","Brown Shroomfin",""
"Advanced Fishing","advanced-fishing:fish",4750,29,"true","Fungi Catfish",""
"Advanced Fishing","advanced-fishing:fish",4750,30,"true","Swamp Plaice",""
"Advanced Fishing","advanced-fishing:fish",4750,31,"true","Crystal Mullet",""
"Advanced Fishing","advanced-fishing:fish",4750,32,"true","Charged Bullhead",""
"Advanced Fishing","advanced-fishing:fish",4750,33,"true","Abyssal Lurker",""
"Advanced Fishing","advanced-fishing:fish",4750,34,"true","Sunfish",""
"Advanced Fishing","advanced-fishing:fish",4750,35,"true","Glacier Anchovy",""
"Advanced Fishing","advanced-fishing:fish",4750,36,"true","Catfish",""
"Advanced Fishing","advanced-fishing:fish",4750,37,"true","Pike",""
"Advanced Fishing","advanced-fishing:fish",4750,38,"true","Magikarp",""
"Advanced Fishing","advanced-fishing:fish",4750,39,"true","Green Jellyfish",""
"Advanced Fishing","advanced-fishing:fish",4750,40,"true","Bonefish",""
"Advanced Fishing","advanced-fishing:fish",4750,41,"true","Cursed Koi",""
"Advanced Fishing","advanced-fishing:fish",4750,42,"true","Spookyfin",""
"Akashic Tome","akashictome:tome",5312,0,"false","Akashic Tome",""
